Parent,Summary,Issue Type,Priority,Labels,Finding ID,Description
KAN-39,A1: .env.example env var names aligned,Sub-task,High,"sprint-a audit-remediation audit-high","A1","Fix: Renamed OLLAMA_MODEL to OLLAMA_PRIMARY_MODEL, FALLBACK_MODEL to TERTIARY_MODEL. Added missing OLLAMA_SECONDARY_MODEL and OLLAMA_TERTIARY_MODEL. Removed dead OLLAMA_PORT. Added GOOGLE_AI_STUDIO_API_KEY2. Files: .env.example, api_router.py"
KAN-39,A2: Model default names aligned,Sub-task,High,"sprint-a audit-remediation audit-high","A2","Fix: qwen2.5-bazi -> qwen2.5:7b in config.py:435 and api_router.py:34. Aligned README docs. Files: core/config.py, api_router.py, README.md"
KAN-39,A3: README/C4 diagrams qwen2.5-coder:7b,Sub-task,Medium,"sprint-a audit-remediation audit-medium","A3","Fix: Updated README diagrams to show qwen2.5-coder:7b secondary model. Files: README.md"
KAN-39,A4: HybridRouter docstring,Sub-task,Medium,"sprint-a audit-remediation audit-medium","A4","Fix: Added HybridRouter docstring with routing logic explanation. Files: api_router.py"
KAN-39,A5: Cloudflare AI route docs,Sub-task,Medium,"sprint-a audit-remediation audit-medium","A5","Fix: Documented Cloudflare AI route in README. Files: README.md"
KAN-39,A6: api_router.py docstring+defaults,Sub-task,High,"sprint-a audit-remediation audit-high","A6","Fix: Updated model defaults and docstring in api_router.py. Files: api_router.py"
KAN-39,A7: fast_return guard,Sub-task,High,"sprint-a audit-remediation audit-high","A7","Fix: Added fast_return guard in v3_engine_adapter.py:68. Files: core/v3_engine_adapter.py"
KAN-39,A8: Validation bypass + Merkle DAG,Sub-task,Highest,"sprint-a audit-remediation audit-critical","A8","Fix: Validation bypass at debate.py:264-272. Added compute_merkle_hash() to _emit(). Files: routers/debate.py, core/v3_engine_adapter.py"
KAN-40,B1: Cloudflare AI fallback docs,Sub-task,Medium,"sprint-b audit-remediation audit-medium","B1","Fix: Cloudflare AI fallback docs in README. Files: README.md"
KAN-40,B2: v3 spec 503 error code,Sub-task,Medium,"sprint-b audit-remediation audit-medium","B2","Fix: Added 503 error code to v3 spec. Files: docs/v3_api_specification.md, routers/v3.py"
KAN-40,B3: Discipline count 10->16,Sub-task,Medium,"sprint-b audit-remediation audit-medium","B3","Fix: README discipline count mismatch (10 -> 16 renderers). Files: README.md"
KAN-40,B4: fast_return guard v3,Sub-task,Medium,"sprint-b audit-remediation audit-medium","B4","Fix: fast_return guard in v3_engine_adapter. Files: core/v3_engine_adapter.py"
KAN-40,B5: RAG hardcoded->FAISS,Sub-task,Medium,"sprint-b audit-remediation audit-medium","B5","Fix: Hardcoded refs replaced with FAISS RAG search. Files: routers/debate.py"
KAN-40,B6: interpret_bazi LLM check,Sub-task,Medium,"sprint-b audit-remediation audit-medium","B6","Fix: interpret_bazi conditional LLM check. Files: routers/v3.py"
KAN-40,B7: HITL upsert not get,Sub-task,Medium,"sprint-b audit-remediation audit-medium","B7","Fix: HITL uses upsert not get. Files: routers/debate.py"
KAN-40,B8: L1 spec BaZiEngine,Sub-task,Medium,"sprint-b audit-remediation audit-medium","B8","Fix: L1 spec updated for BaZiEngine. Files: docs/v3_api_specification.md"
KAN-40,B9: Fallback reading docs,Sub-task,Medium,"sprint-b audit-remediation audit-medium","B9","Fix: Documented fallback reading function. Files: README.md, routers/debate.py"
KAN-40,B10: Codex CLI route docs,Sub-task,Medium,"sprint-b audit-remediation audit-medium","B10","Fix: Codex CLI route documented in README. Files: README.md"
KAN-41,C1: validator gemini-2.0->2.5,Sub-task,Low,"sprint-c audit-remediation audit-low","C1","Fix: DEFAULT_MODEL gemini-2.0-flash -> gemini-2.5-flash. Files: project/validator.py"
KAN-41,C2: AI_ZERO_COST_ONLY refactor,Sub-task,Low,"sprint-c audit-remediation audit-low","C2","Fix: Extracted AI_ZERO_COST_ONLY env var to _env_key constant. Files: project/api_router.py"
KAN-41,C3: HITL zodiac SVG diagram,Sub-task,Low,"sprint-c audit-remediation audit-low","C3","Fix: Added zodiac wheel SVG rendering step in HITL diagram. Files: README.md"
KAN-41,C4: Decimal precision in solar_time,Sub-task,Low,"sprint-c audit-remediation audit-low","C4","Fix: Converted float arithmetic to Decimal in LMT formula. Files: project/core/solar_time.py"
